Step Frequency (Hz),Foot Pressure (kPa),Surface Type,Temperature (°C),Humidity (%),Harvested Energy (mW)
1.6249840928204713,267.55132571718815,Dirt,29.982696056022576,56.31829382544848,0.7597854095230134
1.2489603770168338,296.66695949814607,Grass,18.884685294781555,34.33562797485945,1.1489747568312514
1.3120768837441947,299.73123866745243,Treadmill,26.79495394141752,53.23657359064916,0.8541046047007878
1.290157046198567,181.67097555199166,Grass,20.96380690558317,56.13419741030844,0.47644614448445355
1.464955006673891,230.8551752859729,Dirt,32.08204447912641,67.04295324044378,0.43655052803638
1.4295094592924285,312.27339621695995,Grass,29.832289880901616,36.639141271595065,1.2040922203972342
1.499754992338349,261.60845864141623,Concrete,15.050544923833758,60.73520230559543,0.8854262303377664
1.3189487680447114,251.70523755099114,Grass,19.36635808991706,65.93812166387768,0.5316978590397852
1.7010990640612758,250.52665961797084,Concrete,18.281348457868518,39.046200340865774,1.4510421435973118
1.6668055137452662,277.07292734215025,Treadmill,24.692196670810375,56.500301782556996,0.9520030352824729
1.4652372974216559,264.2957965902008,Concrete,26.507189090633343,33.05544955311057,1.3415091453084182
1.4043266566824124,221.23070383495434,Dirt,28.957245945480224,49.743929337414166,0.6310550356764962
1.38412850133096,294.05297580429516,Treadmill,23.77146237782568,39.612885659803325,1.174897511333755
1.4379710009978641,189.85574751316136,Treadmill,23.587970117369483,56.821555642850726,0.5644742171197098
1.2199509542497646,316.10622120560004,Concrete,26.42145919618098,49.502752137788406,1.0085162874218783
1.3080785375576318,205.2022894079687,Dirt,40.75175752987323,46.506558895679674,0.5125971905002377
1.6720240783969933,277.3944971020488,Dirt,17.42594346920031,56.10335691557665,0.9167902491033124
1.5603624972151737,241.7618524518495,Dirt,15.603864599616657,41.472737617850946,1.0102825068677626
1.8268548971953062,226.18110999301695,Dirt,22.319307621674216,50.19874839634491,0.8863361710348945
1.4401609699661357,317.87854612999104,Grass,21.406534995100362,56.955884077712504,0.909449666647667
1.4276973545786265,287.14530555471737,Dirt,21.310677518753796,46.67938718742235,0.9503419062973655
1.4184202150912704,247.0524334883994,Dirt,24.938342323975785,51.31192816993725,0.7170028206338364
1.4361671033563663,337.2585689828878,Treadmill,19.148627971557023,47.4518281716681,1.2696358168225832
1.3680091973706805,298.9874596524613,Concrete,22.02371257696515,64.30607804990382,0.7881967782863072
1.55419764293744,209.72613675327784,Grass,23.527441982484735,64.1211959911861,0.5292043178442295
1.5058208134296822,136.98258524601383,Grass,23.644340850442344,49.17754055005376,0.4738532520821171
1.3980170996323456,255.34302491090097,Treadmill,24.294016269291195,48.83188536121079,0.8688563579701841
1.7502297826037805,319.174902741117,Grass,24.251915392867467,39.894948203632545,1.5090242538397962
1.8793165844972615,280.5325332497369,Grass,20.962749774598677,72.56897153079777,0.670176339964435
1.73331544111468,328.69818607167275,Treadmill,23.72496979090518,57.82703055441899,1.1490868256183135
1.611624802616679,220.08435759730347,Dirt,24.974799114345817,59.01091490084738,0.6107660041341533
1.652353945252755,244.13879180554233,Grass,29.80153445594418,64.26404432688611,0.6138966652769676
1.871283103565267,245.3529196573408,Concrete,17.59584970952215,49.51876046724898,1.3026060413691107
1.6520638631518847,262.06106141553227,Dirt,25.122386568521673,47.320374283152255,0.9567859636547777
1.382962829480143,288.37213911780026,Dirt,25.82386110679209,64.9137938296228,0.5830804306942964
1.5784545053301096,331.6184833797288,Dirt,25.92184166607972,44.58566696478038,1.2075705093422509
1.6252488532126637,342.1347110834813,Grass,26.15653767674657,48.18626766205777,1.2715398425747089
1.301056545192816,333.32853844398977,Concrete,18.434459943797698,53.11280072653098,1.1342872175264136
1.4430138362713645,283.45405561309497,Grass,25.8038648370254,39.173733730162965,1.1017545932038386
1.7200783648110933,232.88887547262908,Treadmill,25.52899993947906,58.015308028424776,0.7906717356932828
